"created_at","id","id_str","text","truncated","entities:hashtags","entities:symbols","entities:user_mentions","entities:urls:url","entities:urls:expanded_url","entities:urls:display_url","entities:urls:indices","metadata:iso_language_code","metadata:result_type","source","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id","in_reply_to_user_id_str","in_reply_to_screen_name","user:id","user:id_str","user:name","user:screen_name","user:location","user:description","user:url","user:entities:url:urls:url","user:entities:url:urls:expanded_url","user:entities:url:urls:display_url","user:entities:url:urls:indices","user:entities:description:urls:url","user:entities:description:urls:expanded_url","user:entities:description:urls:display_url","user:entities:description:urls:indices","user:protected","user:followers_count","user:friends_count","user:listed_count","user:created_at","user:favourites_count","user:utc_offset","user:time_zone","user:geo_enabled","user:verified","user:statuses_count","user:lang","user:contributors_enabled","user:is_translator","user:is_translation_enabled","user:profile_background_color","user:profile_background_image_url","user:profile_background_image_url_https","user:profile_background_tile","user:profile_image_url","user:profile_image_url_https","user:profile_banner_url","user:profile_link_color","user:profile_sidebar_border_color","user:profile_sidebar_fill_color","user:profile_text_color","user:profile_use_background_image","user:has_extended_profile","user:default_profile","user:default_profile_image","user:following","user:follow_request_sent","user:notifications","user:translator_type","geo","coordinates","place","contributors","is_quote_status","retweet_count","favorite_count","favorited","retweeted","possibly_sensitive","lang"
"Wed Apr 03 19:00:42 +0000 2019",1113516691621851136,"1113516691621851136","Kann Donnie bitte zu jedem Dark Souls Teil noch ein Knallhart Durchgenommen machen? Gab zwar schon viele auf dem Se… https://t.co/m0ksI1X0hr",TRUE,"()","()","()","https://t.co/m0ksI1X0hr","https://twitter.com/i/web/status/1113516691621851136","twitter.com/i/web/status/1…","117","de","recent","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,NA,NA,NA,2221902263,"2221902263","Miri Cartmanez","lassmirinda","","Kann dünne Bretter bohren und Trittbrett fahren. Raketenbohne.
https://t.co/7aTi9hWNCU","https://t.co/jlNbdzGaVD","https://t.co/jlNbdzGaVD","http://instagram.com/mirimmorpg","instagram.com/mirimmorpg","0","https://t.co/7aTi9hWNCU","http://twitch.tv/mirimmorpg","twitch.tv/mirimmorpg","63",FALSE,1187,435,8,"Thu Dec 12 17:59:35 +0000 2013",22945,NA,NA,FALSE,FALSE,7905,"de",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1112727003499761664/rHxA_dw-_normal.jpg","https://pbs.twimg.com/profile_images/1112727003499761664/rHxA_dw-_normal.jpg","https://pbs.twimg.com/profile_banners/2221902263/1546281190","1B95E0","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,FALSE,"de"
"Wed Apr 03 19:00:08 +0000 2019",1113516549455929346,"1113516549455929346","Parents think this talk is the Dark Souls of the one about the birds and the bees",FALSE,"()","()","()",NA,NA,NA,NA,"en","recent","<a href=""http://www.example.com"" rel=""nofollow"">x-darksouls-y</a>",NA,NA,NA,NA,NA,895407844455051264,"895407844455051264","X DarkSouls Y","x_darksouls_y","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,44,0,1,"Wed Aug 09 22:14:00 +0000 2017",0,NA,NA,FALSE,FALSE,28051,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/897858100903989248/O1Q94w9V_normal.jpg","https://pbs.twimg.com/profile_images/897858100903989248/O1Q94w9V_normal.jpg",NA,"1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,NA,"en"
"Wed Apr 03 18:56:36 +0000 2019",1113515663090487296,"1113515663090487296","Going live with my #DarkSouls first-time run right now! We're at the Bell Tower Gargoyles and struggling, there's a… https://t.co/HkyiYV54t5",TRUE,"((text . DarkSouls) (indices . #(19 29)))","()","()","https://t.co/HkyiYV54t5","https://twitter.com/i/web/status/1113515663090487296","twitter.com/i/web/status/1…","117","en","recent","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,NA,NA,NA,35264861,"35264861","Teh_Shaunz0r[TSAN][EMBR]","Teh_Shaunz0r","UK","Animator, Climber, Dungeon Master, Adventurer, Affiliated Twitch Streamer, Occasional Gym Bro.","https://t.co/Nc8y9DarZF","https://t.co/Nc8y9DarZF","http://twitch.tv/teh_shaunz0r","twitch.tv/teh_shaunz0r","0",NA,NA,NA,NA,FALSE,135,215,6,"Sat Apr 25 17:39:33 +0000 2009",709,NA,NA,FALSE,FALSE,1015,"en",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme15/bg.png","https://abs.twimg.com/images/themes/theme15/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1106277432405958656/IpnRK_vD_normal.png","https://pbs.twimg.com/profile_images/1106277432405958656/IpnRK_vD_normal.png","https://pbs.twimg.com/profile_banners/35264861/1549624809","FA743E","000000","000000","000000",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,FALSE,"en"
"Wed Apr 03 18:56:34 +0000 2019",1113515652549971968,"1113515652549971968","망자 이끼 상인
“이 옆으로 내려가면 불사의 마을 최하층에 갈 수 있어. 불결하고 더러운 쓰레기들만 있는 곳이야. 나랑은 상관없는 곳이지만, 당신은 어떨까? 우히히힛”",FALSE,"()","()","()",NA,NA,NA,NA,"ko","recent","<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",NA,NA,NA,NA,NA,1227874122,"1227874122","다크소울 문구들","darksouls_txt","","다크소울 시리즈 아이템 설명과 대사들을 자동트윗. 스포일러 주의⚠️ 트위터 글자수 제한으로 일부분만 올리기도 합니다.  옮겨오는 중이라 잘리거나 이상하게 나오는 트윗이 있을 수 있습니다!😂",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,211,0,0,"Thu Feb 28 16:24:52 +0000 2013",0,NA,NA,FALSE,FALSE,13810,"ko",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/930422753014042624/XZZFBInl_normal.jpg","https://pbs.twimg.com/profile_images/930422753014042624/XZZFBInl_normal.jpg","https://pbs.twimg.com/profile_banners/1227874122/1527867628","ABB8C2","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,NA,"ko"
"Wed Apr 03 18:56:01 +0000 2019",1113515516252102656,"1113515516252102656","@nonbeliever Thank goodness for the shinobi execution ;p looks tough bro ! How does it compare in terms of difficulty to darksouls etc...",FALSE,"()","()","((screen_name . nonbeliever) (name . Pazuzu) (id . 14972252) (id_str . 14972252) (indices . #(0 12)))",NA,NA,NA,NA,"en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1113513076077342721,"1113513076077342721",14972252,"14972252","nonbeliever",376284225,"376284225","Matt Wickham","Matty_Wickham","Manchester | Liverpool","Digital Creative Direction, UX & Design",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,634,1131,14,"Mon Sep 19 16:33:44 +0000 2011",2203,NA,NA,FALSE,FALSE,1332,"en",FALSE,FALSE,FALSE,"F5F5F5","http://abs.twimg.com/images/themes/theme6/bg.gif","https://abs.twimg.com/images/themes/theme6/bg.gif",FALSE,"http://pbs.twimg.com/profile_images/378800000330437743/db81ada233f6d6908822b52bc1f0d5a7_normal.jpeg","https://pbs.twimg.com/profile_images/378800000330437743/db81ada233f6d6908822b52bc1f0d5a7_normal.jpeg","https://pbs.twimg.com/profile_banners/376284225/1398429401","F3198F","FFFFFF","A0C5C7","333333",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,NA,"en"
"Wed Apr 03 18:54:34 +0000 2019",1113515151347421184,"1113515151347421184","この先、幸せあり",FALSE,"()","()","()",NA,NA,NA,NA,"ja","recent","<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",NA,NA,NA,NA,NA,263337745,"263337745","Dark Souls","DarkSouls_bot","火継ぎの祭祀場","PS3アクションソフト「Dark Souls」の定型文メッセージ＋αのbotです。狂気のフィールドに赤く刻まれたプレイヤーたちの言霊。”心が折れそうだ・・・.” ご要望等はメッセージにてお願い致します。","http://t.co/0m1FYxTY3n","http://t.co/0m1FYxTY3n","http://www.fromsoftware.jp/darksouls/","fromsoftware.jp/darksouls/","0",NA,NA,NA,NA,FALSE,2036,2777,8,"Wed Mar 09 21:16:49 +0000 2011",2,NA,NA,FALSE,FALSE,95170,"en",FALSE,FALSE,FALSE,"0A0A0A","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",TRUE,"http://pbs.twimg.com/profile_images/3107404852/d0f7622c3568f990d251724cb91dc29f_normal.jpeg","https://pbs.twimg.com/profile_images/3107404852/d0f7622c3568f990d251724cb91dc29f_normal.jpeg",NA,"0084B4","FFFFFF","000000","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,NA,"ja"
"Wed Apr 03 18:51:44 +0000 2019",1113514436256509952,"1113514436256509952","Lo que no entiendo es por que si la historia del darksouls es decente porque tampoco es la polla pero no es mala, n… https://t.co/FvUDdMX4Pj",TRUE,"()","()","()","https://t.co/FvUDdMX4Pj","https://twitter.com/i/web/status/1113514436256509952","twitter.com/i/web/status/1…","117","es","recent","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,NA,NA,NA,2496968589,"2496968589","Bajokage","javipazbrea","Dentro de la Pandórica","¡Sorpresa, he volvido! Wii Fit Trainer Main!  ¡Traducción e interpretación! ¡Bajista de @__PanPanPanda__! 1999 Bizarre Summer!","https://t.co/1rsAUpe0pr","https://t.co/1rsAUpe0pr","https://curiouscat.me/javipazbrea","curiouscat.me/javipazbrea","0",NA,NA,NA,NA,FALSE,328,320,11,"Sun Apr 20 10:46:18 +0000 2014",38401,NA,NA,TRUE,FALSE,68816,"es",FALSE,FALSE,FALSE,"ACDED6","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",TRUE,"http://pbs.twimg.com/profile_images/1083775684470812672/DfPvfgmC_normal.jpg","https://pbs.twimg.com/profile_images/1083775684470812672/DfPvfgmC_normal.jpg","https://pbs.twimg.com/profile_banners/2496968589/1537232378","FA743E","000000","000000","000000",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"regular",NA,NA,NA,NA,FALSE,0,1,FALSE,FALSE,NA,"es"
"Wed Apr 03 18:50:05 +0000 2019",1113514020588281856,"1113514020588281856","Ich war noch nie so glücklich eine Leiter zu finden :')
#LehmannDarkSouls #DarkSouls #DarkSoulsRemastered… https://t.co/VRliceLYsM",TRUE,"((text . LehmannDarkSouls) (indices . #(56 73)))","()","()","https://t.co/VRliceLYsM","https://twitter.com/i/web/status/1113514020588281856","twitter.com/i/web/status/1…","107","de","recent","<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>",NA,NA,NA,NA,NA,1472493516,"1472493516","Lehmann","LoLehmann","Rheinland-Pfalz, Deutschland","Gelehrter Kaufmann im Einzelhandel / Dedede Main / #nurderhsv / Träume: Eigene Wohnung, Neues F-ZERO",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,114,406,4,"Fri May 31 16:13:48 +0000 2013",16464,NA,NA,FALSE,FALSE,4248,"de",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1112786126534737921/B5dovUcR_normal.jpg","https://pbs.twimg.com/profile_images/1112786126534737921/B5dovUcR_normal.jpg","https://pbs.twimg.com/profile_banners/1472493516/1541078209","00CC00","000000","000000","000000",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,FALSE,"de"
"Wed Apr 03 18:46:35 +0000 2019",1113513139755192323,"1113513139755192323","Hypothetical; because I don't know the answer. If ""Souls"" games added an ""Easy Mode"" and were consequently less sat… https://t.co/PG8OfJFA0k",TRUE,"()","()","()","https://t.co/PG8OfJFA0k","https://twitter.com/i/web/status/1113513139755192323","twitter.com/i/web/status/1…","117","en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,50754034,"50754034","Sean Mobsby #TeamChaos","SeanMobsby","Reading, England","Gamer, vegetarian & tea drinker extraordinaire. @QuestGaming Podcaster. @Covcampus Graduate BA:Product Design. @ReadingFC & @AZCardinals fan. PSN: seanomatic8","https://t.co/OWekIVv2GC","https://t.co/OWekIVv2GC","https://seanmobsbygaming.wordpress.com/","seanmobsbygaming.wordpress.com","0",NA,NA,NA,NA,FALSE,651,1783,22,"Thu Jun 25 20:11:06 +0000 2009",59059,NA,NA,TRUE,FALSE,13836,"en",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1091060868748623873/bVzkL5TI_normal.jpg","https://pbs.twimg.com/profile_images/1091060868748623873/bVzkL5TI_normal.jpg","https://pbs.twimg.com/profile_banners/50754034/1537476111","000000","000000","DDEEF6","333333",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,1,FALSE,FALSE,NA,"en"
"Wed Apr 03 18:43:20 +0000 2019",1113512324873240576,"1113512324873240576","If you want to talk about gatekeeping in darksouls fandom that's totally fine and you'd easily earn my support but… https://t.co/WEmtCyrvph",TRUE,"()","()","()","https://t.co/WEmtCyrvph","https://twitter.com/i/web/status/1113512324873240576","twitter.com/i/web/status/1…","116","en","recent","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,NA,NA,NA,44240772,"44240772","LukewarmHoliday","LukewarmHoliday","they/them he/him","Hello I use this twitter for irresponsible self therapy.   Girlfriend: @NoNo_VRC   ❤️❤️: @Irysa_ @mahoushoujomaya  Avatar: @Naga_U_","https://t.co/rcgHH7BJw1","https://t.co/rcgHH7BJw1","https://curiouscat.me/LukewarmHoliday","curiouscat.me/LukewarmHoliday","0",NA,NA,NA,NA,FALSE,121,107,2,"Tue Jun 02 23:45:11 +0000 2009",6725,NA,NA,FALSE,FALSE,13957,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1075159416171847680/0tVp2pML_normal.jpg","https://pbs.twimg.com/profile_images/1075159416171847680/0tVp2pML_normal.jpg","https://pbs.twimg.com/profile_banners/44240772/1545173042","CFBE04","C0DEED","DDEEF6","333333",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,1,FALSE,FALSE,NA,"en"
"Wed Apr 03 18:42:52 +0000 2019",1113512205243305984,"1113512205243305984","Sekiro: Shadows Die Twice Walkthrough Gameplay [Part 9] https://t.co/ph7KZsALhQ via @YouTube @YouTubeGaming… https://t.co/zdBMAyfMzR",TRUE,"()","()","((screen_name . YouTube) (name . YouTube) (id . 10228272) (id_str . 10228272) (indices . #(84 92)))","https://t.co/ph7KZsALhQ","https://youtu.be/2DoGOpOE1AE","youtu.be/2DoGOpOE1AE","56","en","recent","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,NA,NA,NA,873168655,"873168655","Strack Drack","StrackDrackSDW","Sweden","I belive in the power of my claws in my paws!","http://t.co/aShimzJo3n","http://t.co/aShimzJo3n","http://strackdracksdw.wordpress.com","strackdracksdw.wordpress.com","0",NA,NA,NA,NA,FALSE,109,714,2,"Thu Oct 11 07:15:30 +0000 2012",1,NA,NA,FALSE,FALSE,192,"sv",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/677747927196917760/89_jwCIq_normal.png","https://pbs.twimg.com/profile_images/677747927196917760/89_jwCIq_normal.png","https://pbs.twimg.com/profile_banners/873168655/1443086019","3D18A3","000000","DDEEF6","333333",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"regular",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,FALSE,"en"
"Wed Apr 03 18:41:17 +0000 2019",1113511807979798528,"1113511807979798528","Please let me know if I should stream fortnite or some other game tonight!
#Fortnite #YouTube #YouTuber #Bloodborne… https://t.co/3y2MQ3BkPV",TRUE,"((text . Fortnite) (indices . #(75 84)))","()","()","https://t.co/3y2MQ3BkPV","https://twitter.com/i/web/status/1113511807979798528","twitter.com/i/web/status/1…","117","en","recent","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,NA,NA,NA,1054737939341737984,"1054737939341737984","Discomforted Games","DiscomfortedG","United States","Check me out on YouTube! I do lots of different games, and I Post often!","https://t.co/Ass8J2yZv2","https://t.co/Ass8J2yZv2","https://www.youtube.com/channel/UCqN1tVJlVOZDUP34f69mQsA","youtube.com/channel/UCqN1t…","0",NA,NA,NA,NA,FALSE,12,37,0,"Tue Oct 23 14:14:55 +0000 2018",242,NA,NA,FALSE,FALSE,177,"en",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1111671220754436096/xGnCIV_i_normal.png","https://pbs.twimg.com/profile_images/1111671220754436096/xGnCIV_i_normal.png","https://pbs.twimg.com/profile_banners/1054737939341737984/1553878064","FF691F","000000","000000","000000",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,1,FALSE,FALSE,NA,"en"
"Wed Apr 03 18:39:13 +0000 2019",1113511287751725056,"1113511287751725056","Well, that definitely happened. #DarkSouls #DarkSoulsRemastered #NintendoSwitch https://t.co/o7XDCelCxc",FALSE,"((text . DarkSouls) (indices . #(32 42)))","()","()",NA,NA,NA,NA,"en","recent","<a href=""https://www.nintendo.com/countryselector"" rel=""nofollow"">Nintendo Switch Share</a>",NA,NA,NA,NA,NA,18835680,"18835680","Fredrik Englund","englundf","Vaasa, Finland","UX Designer @VevoxApp. I like regular things.",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,74,239,2,"Sat Jan 10 14:44:12 +0000 2009",32,NA,NA,FALSE,FALSE,491,"en",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1006421923272720385/_vyQfY75_normal.jpg","https://pbs.twimg.com/profile_images/1006421923272720385/_vyQfY75_normal.jpg","https://pbs.twimg.com/profile_banners/18835680/1528784698","FF691F","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,FALSE,"en"
"Wed Apr 03 18:38:26 +0000 2019",1113511087750692867,"1113511087750692867","RT @Setzeri: Priscilla in kimono. #DarkSouls ❄ https://t.co/L9T8PSEpjS",FALSE,"((text . DarkSouls) (indices . #(34 44)))","()","((screen_name . Setzeri) (name . Setz) (id . 1105987226) (id_str . 1105987226) (indices . #(3 11)))",NA,NA,NA,NA,"it","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,3174633941,"3174633941","Deep Fried Twinkie","empty_soda_cant","","https://t.co/2BesiGFxSA",NA,NA,NA,NA,NA,"https://t.co/2BesiGFxSA","http://pumpkaboo-amiibo.tumblr.com/","pumpkaboo-amiibo.tumblr.com","0",FALSE,117,1102,0,"Fri Apr 17 01:36:46 +0000 2015",17567,NA,NA,FALSE,FALSE,5686,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1062828523864449024/ojtmX6tb_normal.jpg","https://pbs.twimg.com/profile_images/1062828523864449024/ojtmX6tb_normal.jpg","https://pbs.twimg.com/profile_banners/3174633941/1528155726","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,71,0,FALSE,FALSE,FALSE,"it"
"Wed Apr 03 18:37:29 +0000 2019",1113510849010851840,"1113510849010851840","【ダークソウルサイン探し（デーモン遺跡）darksouls】★爛れ続ける者の霧前、★デーモン遺跡の二つ目の篝火近く、★三つ目の篝火、★ムカデのデーモン霧前 #ダークソウル",FALSE,"((text . ダークソウル) (indices . #(78 85)))","()","()",NA,NA,NA,NA,"ja","recent","<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",NA,NA,NA,NA,NA,1376577756,"1376577756","ダークソウル_ファントム探し","search_for_sign","","ダークソウル(Darksouls)で、サインが少なかったり、侵入がなかったりする事があります。そんな時、このアカウントのフォロワーさんと、遊べる方を探してみては？？
出来れば相互フォローして情報交換して欲しいです＾＾
Please look for a phantom by this account.",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,110,2,4,"Wed Apr 24 09:21:43 +0000 2013",0,NA,NA,FALSE,FALSE,67515,"ja",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/3568245971/ba0962c505e594f5fe0b10e1f9e13012_normal.jpeg","https://pbs.twimg.com/profile_images/3568245971/ba0962c505e594f5fe0b10e1f9e13012_normal.jpeg",NA,"1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,NA,"ja"
"Wed Apr 03 18:37:16 +0000 2019",1113510795747504129,"1113510795747504129","Dark Souls 3 - Random Stats Challenge Part 14 Ha Got Him! Ft. Meuzician https://t.co/bLYoBq0md6 via @YouTube #DS3… https://t.co/EnEBhVoivR",TRUE,"((text . DS3) (indices . #(109 113)))","()","((screen_name . YouTube) (name . YouTube) (id . 10228272) (id_str . 10228272) (indices . #(100 108)))","https://t.co/bLYoBq0md6","https://youtu.be/Q2JTRPTcx0g","youtu.be/Q2JTRPTcx0g","72","en","recent","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NA,NA,NA,NA,NA,308370565,"308370565","Shadow SeroZoul","ShadowSeroZoul","Online","I play videogames and upload it. what can i say i love what i do","https://t.co/gIbQlTtfxM","https://t.co/gIbQlTtfxM","https://www.youtube.com/user/GameclubTheShadows","youtube.com/user/GameclubT…","0",NA,NA,NA,NA,FALSE,16,57,0,"Tue May 31 09:00:12 +0000 2011",24,NA,NA,FALSE,FALSE,246,"nl",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme15/bg.png","https://abs.twimg.com/images/themes/theme15/bg.png",FALSE,"http://pbs.twimg.com/profile_images/922909121988513793/N7qY18TY_normal.jpg","https://pbs.twimg.com/profile_images/922909121988513793/N7qY18TY_normal.jpg","https://pbs.twimg.com/profile_banners/308370565/1441099821","1B95E0","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,FALSE,"en"
"Wed Apr 03 18:36:21 +0000 2019",1113510566969131008,"1113510566969131008","RT @Setzeri: Priscilla in kimono. #DarkSouls ❄ https://t.co/L9T8PSEpjS",FALSE,"((text . DarkSouls) (indices . #(34 44)))","()","((screen_name . Setzeri) (name . Setz) (id . 1105987226) (id_str . 1105987226) (indices . #(3 11)))",NA,NA,NA,NA,"it","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,773829785093103616,"773829785093103616","ROTLICH LIVES!!!","Satokekkyu","Heretic Kingdom","🔞 | Sprite Artist | Traitor King | Reblogger | Whatevs | Don't touch me I'll bite you. Ｄｏ　ａｓ　ｔｈｏｕ　ｓｅｅ　ｆｉｔ","https://t.co/t9hp1kqzcT","https://t.co/t9hp1kqzcT","http://tastethedamnconcretealready.tumblr.com/","tastethedamnconcretealready.tumblr.com","0",NA,NA,NA,NA,FALSE,130,2155,2,"Thu Sep 08 10:26:12 +0000 2016",32548,NA,NA,FALSE,FALSE,6944,"en",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1020313664069357568/AmLMtcl2_normal.jpg","https://pbs.twimg.com/profile_images/1020313664069357568/AmLMtcl2_normal.jpg","https://pbs.twimg.com/profile_banners/773829785093103616/1532097393","7E1818","000000","000000","000000",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,71,0,FALSE,FALSE,FALSE,"it"
"Wed Apr 03 18:35:46 +0000 2019",1113510418977370114,"1113510418977370114","RT @3DROD: ~ Agent 3 the Abysswalker ~

#Splatoon2 #DarkSouls https://t.co/L69zfKRFXz",FALSE,"((text . Splatoon2) (indices . #(40 50)))","()","((screen_name . 3DROD) (name . 3DROD) (id . 355939737) (id_str . 355939737) (indices . #(3 9)))",NA,NA,NA,NA,"en","recent","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,972179672913072128,"972179672913072128","three","agxnt3","","S+ Dapple dualies/dualie squelcher main. Learning chargers & splatlings.  Nyx#5225  SW-2928-3447-6972 Main: @kuokuana","https://t.co/BrMROXVLcE","https://t.co/BrMROXVLcE","https://splattack.carrd.co","splattack.carrd.co","0",NA,NA,NA,NA,FALSE,31,121,0,"Fri Mar 09 18:37:51 +0000 2018",402,NA,NA,FALSE,FALSE,535,"en",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1051972874628562944/CN_OR37A_normal.jpg","https://pbs.twimg.com/profile_images/1051972874628562944/CN_OR37A_normal.jpg","https://pbs.twimg.com/profile_banners/972179672913072128/1520622277","19CF86","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,814,0,FALSE,FALSE,FALSE,"en"
