"created_at","id","id_str","text","truncated","entities:hashtags","entities:symbols","entities:user_mentions:screen_name","entities:user_mentions:name","entities:user_mentions:id","entities:user_mentions:id_str","entities:user_mentions:indices","entities:urls","metadata:iso_language_code","metadata:result_type","source","in_reply_to_status_id","in_reply_to_status_id_str","in_reply_to_user_id","in_reply_to_user_id_str","in_reply_to_screen_name","user:id","user:id_str","user:name","user:screen_name","user:location","user:description","user:url","user:entities:description:urls","user:protected","user:followers_count","user:friends_count","user:listed_count","user:created_at","user:favourites_count","user:utc_offset","user:time_zone","user:geo_enabled","user:verified","user:statuses_count","user:lang","user:contributors_enabled","user:is_translator","user:is_translation_enabled","user:profile_background_color","user:profile_background_image_url","user:profile_background_image_url_https","user:profile_background_tile","user:profile_image_url","user:profile_image_url_https","user:profile_banner_url","user:profile_link_color","user:profile_sidebar_border_color","user:profile_sidebar_fill_color","user:profile_text_color","user:profile_use_background_image","user:has_extended_profile","user:default_profile","user:default_profile_image","user:following","user:follow_request_sent","user:notifications","user:translator_type","geo","coordinates","place","contributors","retweeted_status:created_at","retweeted_status:id","retweeted_status:id_str","retweeted_status:text","retweeted_status:truncated","retweeted_status:entities:hashtags","retweeted_status:entities:symbols","retweeted_status:entities:user_mentions","retweeted_status:entities:urls:url","retweeted_status:entities:urls:expanded_url","retweeted_status:entities:urls:display_url","retweeted_status:entities:urls:indices","retweeted_status:metadata:iso_language_code","retweeted_status:metadata:result_type","retweeted_status:source","retweeted_status:in_reply_to_status_id","retweeted_status:in_reply_to_status_id_str","retweeted_status:in_reply_to_user_id","retweeted_status:in_reply_to_user_id_str","retweeted_status:in_reply_to_screen_name","retweeted_status:user:id","retweeted_status:user:id_str","retweeted_status:user:name","retweeted_status:user:screen_name","retweeted_status:user:location","retweeted_status:user:description","retweeted_status:user:url","retweeted_status:user:entities:description:urls","retweeted_status:user:protected","retweeted_status:user:followers_count","retweeted_status:user:friends_count","retweeted_status:user:listed_count","retweeted_status:user:created_at","retweeted_status:user:favourites_count","retweeted_status:user:utc_offset","retweeted_status:user:time_zone","retweeted_status:user:geo_enabled","retweeted_status:user:verified","retweeted_status:user:statuses_count","retweeted_status:user:lang","retweeted_status:user:contributors_enabled","retweeted_status:user:is_translator","retweeted_status:user:is_translation_enabled","retweeted_status:user:profile_background_color","retweeted_status:user:profile_background_image_url","retweeted_status:user:profile_background_image_url_https","retweeted_status:user:profile_background_tile","retweeted_status:user:profile_image_url","retweeted_status:user:profile_image_url_https","retweeted_status:user:profile_link_color","retweeted_status:user:profile_sidebar_border_color","retweeted_status:user:profile_sidebar_fill_color","retweeted_status:user:profile_text_color","retweeted_status:user:profile_use_background_image","retweeted_status:user:has_extended_profile","retweeted_status:user:default_profile","retweeted_status:user:default_profile_image","retweeted_status:user:following","retweeted_status:user:follow_request_sent","retweeted_status:user:notifications","retweeted_status:user:translator_type","retweeted_status:geo","retweeted_status:coordinates","retweeted_status:place","retweeted_status:contributors","retweeted_status:is_quote_status","retweeted_status:retweet_count","retweeted_status:favorite_count","retweeted_status:favorited","retweeted_status:retweeted","retweeted_status:lang","is_quote_status","retweet_count","favorite_count","favorited","retweeted","lang"
"Mon Apr 01 14:32:09 +0000 2019",1112724334366253056,"1112724334366253056","RT @westhingy2: 🌟rt/rep if u like🌟
clairo, girl in red, fazerdaze, conan gray, wallows, summersalt, frankie cosmos, the nbhd, stranger thin…",FALSE,"()","()","westhingy2","Westhingy | Use /wst",1553306040,"1553306040","3","()","en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,150170614,"150170614","bernardeau","vidamrtaa","ur favourite place","SEMOGA YANG PUNYA AKUN INI BISA KETERIMA DI PTN YANG DIINGINKAN, AAMIIN",NA,"()",FALSE,714,566,1,"Mon May 31 07:49:41 +0000 2010",3632,NA,NA,TRUE,FALSE,44257,"en",FALSE,FALSE,FALSE,"EBEEF0","http://abs.twimg.com/images/themes/theme15/bg.png","https://abs.twimg.com/images/themes/theme15/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1106886268934213632/PJKrWwfi_normal.jpg","https://pbs.twimg.com/profile_images/1106886268934213632/PJKrWwfi_normal.jpg","https://pbs.twimg.com/profile_banners/150170614/1552257931","122145","FFFFFF","5F2548","E4235D",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,"Mon Apr 01 07:45:21 +0000 2019",1112621960062590976,"1112621960062590976","🌟rt/rep if u like🌟
clairo, girl in red, fazerdaze, conan gray, wallows, summersalt, frankie cosmos, the nbhd, stran… https://t.co/WQP7wyukm9",TRUE,"()","()","()","https://t.co/WQP7wyukm9","https://twitter.com/i/web/status/1112621960062590976","twitter.com/i/web/status/1…","117","en","recent","<a href=""https://twitter.com/seringbucin"" rel=""nofollow"">Auto Menfess Gavel</a>",NA,NA,NA,NA,NA,1553306040,"1553306040","Westhingy | Use /wst","westhingy2","","@westhingy got suspended. subbase: @educationfess @heroesfess",NA,"()",FALSE,4120,1021,53,"Fri Jun 28 15:16:13 +0000 2013",1,NA,NA,FALSE,FALSE,1982,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1108330037005082624/eYTOHSbR_normal.jpg","https://pbs.twimg.com/profile_images/1108330037005082624/eYTOHSbR_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,25,3,FALSE,FALSE,"en",FALSE,25,0,FALSE,FALSE,"en"
"Mon Apr 01 12:04:06 +0000 2019",1112687075197894658,"1112687075197894658","@hifla - frankie cosmos",FALSE,"()","()","hifla","F",58892998,"58892998","0","()","es","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1112683861077569536,"1112683861077569536",58892998,"58892998","hifla",2881526302,"2881526302","lup ✌️","lupzilla","sp","designer idosa","https://t.co/7Ojg3pG9ob","()",FALSE,966,251,42,"Mon Nov 17 18:52:35 +0000 2014",1259,NA,NA,TRUE,FALSE,25923,"en",FALSE,FALSE,FALSE,"131516","http://abs.twimg.com/images/themes/theme14/bg.gif","https://abs.twimg.com/images/themes/theme14/bg.gif",TRUE,"http://pbs.twimg.com/profile_images/1100211475187204096/_kC5eQvk_normal.png","https://pbs.twimg.com/profile_images/1100211475187204096/_kC5eQvk_normal.png","https://pbs.twimg.com/profile_banners/2881526302/1550965339","ABB8C2","FFFFFF","000000","000000",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,1,FALSE,FALSE,"es"
"Mon Apr 01 11:48:58 +0000 2019",1112683268015575042,"1112683268015575042","Frankie Cosmos - Apathy - Vessel - Sub-Pop",FALSE,"()","()",NA,NA,NA,NA,NA,"()","en","recent","<a href=""http://www.wptsradio.org"" rel=""nofollow"">WPTS Playlist</a>",NA,NA,NA,NA,NA,4035355935,"4035355935","WPTS Playlist","WPTSPlaylist","Pittsburgh, PA","Now playing on @WPTSRadio","https://t.co/HPL7eFWNdf","()",FALSE,345,4,34,"Sun Oct 25 01:01:50 +0000 2015",8,NA,NA,FALSE,FALSE,331848,"en",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/658129792408023041/8nflCFL-_normal.jpg","https://pbs.twimg.com/profile_images/658129792408023041/8nflCFL-_normal.jpg","https://pbs.twimg.com/profile_banners/4035355935/1445745819","1747B6","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"en"
"Mon Apr 01 10:49:23 +0000 2019",1112668274355888128,"1112668274355888128","RT @westhingy2: 🌟rt/rep if u like🌟
clairo, girl in red, fazerdaze, conan gray, wallows, summersalt, frankie cosmos, the nbhd, stranger thin…",FALSE,"()","()","westhingy2","Westhingy | Use /wst",1553306040,"1553306040","3","()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,58960076,"58960076","dey🐾","cnddle","she/her","𝑖𝑡’𝑠 𝑛𝑜𝑡 𝑎 𝑏𝑎𝑑 𝑑𝑎𝑦, 𝑖𝑡’𝑠 𝑎 𝑏𝑎𝑑 𝑙𝑖𝑓𝑒 🥀 | ✧ 𝐜𝐚 ✧",NA,"()",FALSE,192,219,1,"Tue Jul 21 23:28:16 +0000 2009",24,NA,NA,FALSE,FALSE,24252,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1112022549414604802/mx_ZFykq_normal.jpg","https://pbs.twimg.com/profile_images/1112022549414604802/mx_ZFykq_normal.jpg","https://pbs.twimg.com/profile_banners/58960076/1553961812","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,"Mon Apr 01 07:45:21 +0000 2019",1112621960062590976,"1112621960062590976","🌟rt/rep if u like🌟
clairo, girl in red, fazerdaze, conan gray, wallows, summersalt, frankie cosmos, the nbhd, stran… https://t.co/WQP7wyukm9",TRUE,"()","()","()","https://t.co/WQP7wyukm9","https://twitter.com/i/web/status/1112621960062590976","twitter.com/i/web/status/1…","117","en","recent","<a href=""https://twitter.com/seringbucin"" rel=""nofollow"">Auto Menfess Gavel</a>",NA,NA,NA,NA,NA,1553306040,"1553306040","Westhingy | Use /wst","westhingy2","","@westhingy got suspended. subbase: @educationfess @heroesfess",NA,"()",FALSE,4120,1021,53,"Fri Jun 28 15:16:13 +0000 2013",1,NA,NA,FALSE,FALSE,1982,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1108330037005082624/eYTOHSbR_normal.jpg","https://pbs.twimg.com/profile_images/1108330037005082624/eYTOHSbR_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,25,3,FALSE,FALSE,"en",FALSE,25,0,FALSE,FALSE,"en"
"Mon Apr 01 10:10:10 +0000 2019",1112658403640438784,"1112658403640438784","This is not an April Fool's Joke! @IANSWEETWEET's solo EU tour with Frankie Cosmos kicks off tonight at EartH in London",FALSE,"()","()","IANSWEETWEET","IAN SWEET",734507850530164737,"734507850530164737","34","()","en","recent","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",NA,NA,NA,NA,NA,20001490,"20001490","Hardly Art","hardlyart","Seattle, WA","2019 Libera Award nominee for Label of the Year (Small), 2016 Genius Awards loser","https://t.co/ub7OzLvnKr","()",FALSE,22167,1418,492,"Tue Feb 03 20:34:25 +0000 2009",46943,NA,NA,TRUE,TRUE,28409,"en",FALSE,FALSE,FALSE,"9AE4E8","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",TRUE,"http://pbs.twimg.com/profile_images/1058470996028444673/wvPLXn--_normal.jpg","https://pbs.twimg.com/profile_images/1058470996028444673/wvPLXn--_normal.jpg","https://pbs.twimg.com/profile_banners/20001490/1528495177","0084B4","FFFFFF","DDFFCC","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,2,FALSE,FALSE,"en"
"Mon Apr 01 10:10:00 +0000 2019",1112658363094044672,"1112658363094044672","Finally seeing Frankie Cosmos tonight... much excited",FALSE,"()","()",NA,NA,NA,NA,NA,"()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,831445324577329153,"831445324577329153","Eve","Evecarolinex","London, England","Liverpool/London 💋QMUL",NA,"()",FALSE,143,412,0,"Tue Feb 14 10:09:47 +0000 2017",15657,NA,NA,TRUE,FALSE,3918,"en",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1102997030048276481/44JqQv0i_normal.jpg","https://pbs.twimg.com/profile_images/1102997030048276481/44JqQv0i_normal.jpg","https://pbs.twimg.com/profile_banners/831445324577329153/1554113434","F58EA8","000000","000000","000000",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,FALSE,"en"
"Mon Apr 01 10:00:27 +0000 2019",1112655957501198337,"1112655957501198337","RT @westhingy2: 🌟rt/rep if u like🌟
clairo, girl in red, fazerdaze, conan gray, wallows, summersalt, frankie cosmos, the nbhd, stranger thin…",FALSE,"()","()","westhingy2","Westhingy | Use /wst",1553306040,"1553306040","3","()","en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,866293490711265280,"866293490711265280","tea","teasirii","oeoeoeoeoeo","living w/ acne prone skin",NA,"()",FALSE,196,281,0,"Sun May 21 14:03:57 +0000 2017",1817,NA,NA,FALSE,FALSE,5043,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/1112398717926010882/tuQJyN9p_normal.jpg","https://pbs.twimg.com/profile_images/1112398717926010882/tuQJyN9p_normal.jpg","https://pbs.twimg.com/profile_banners/866293490711265280/1552965887","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,"Mon Apr 01 07:45:21 +0000 2019",1112621960062590976,"1112621960062590976","🌟rt/rep if u like🌟
clairo, girl in red, fazerdaze, conan gray, wallows, summersalt, frankie cosmos, the nbhd, stran… https://t.co/WQP7wyukm9",TRUE,"()","()","()","https://t.co/WQP7wyukm9","https://twitter.com/i/web/status/1112621960062590976","twitter.com/i/web/status/1…","117","en","recent","<a href=""https://twitter.com/seringbucin"" rel=""nofollow"">Auto Menfess Gavel</a>",NA,NA,NA,NA,NA,1553306040,"1553306040","Westhingy | Use /wst","westhingy2","","@westhingy got suspended. subbase: @educationfess @heroesfess",NA,"()",FALSE,4120,1021,53,"Fri Jun 28 15:16:13 +0000 2013",1,NA,NA,FALSE,FALSE,1982,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1108330037005082624/eYTOHSbR_normal.jpg","https://pbs.twimg.com/profile_images/1108330037005082624/eYTOHSbR_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,25,3,FALSE,FALSE,"en",FALSE,25,0,FALSE,FALSE,"en"
"Mon Apr 01 09:46:38 +0000 2019",1112652482717450240,"1112652482717450240","RT @westhingy2: 🌟rt/rep if u like🌟
clairo, girl in red, fazerdaze, conan gray, wallows, summersalt, frankie cosmos, the nbhd, stranger thin…",FALSE,"()","()","westhingy2","Westhingy | Use /wst",1553306040,"1553306040","3","()","en","recent","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,1015233756456673281,"1015233756456673281","ze","svmmersalt","","",NA,"()",FALSE,200,253,0,"Fri Jul 06 13:59:24 +0000 2018",1418,NA,NA,TRUE,FALSE,1420,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/1112532480639197185/xmhx8Ufm_normal.jpg","https://pbs.twimg.com/profile_images/1112532480639197185/xmhx8Ufm_normal.jpg","https://pbs.twimg.com/profile_banners/1015233756456673281/1543121917","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,"Mon Apr 01 07:45:21 +0000 2019",1112621960062590976,"1112621960062590976","🌟rt/rep if u like🌟
clairo, girl in red, fazerdaze, conan gray, wallows, summersalt, frankie cosmos, the nbhd, stran… https://t.co/WQP7wyukm9",TRUE,"()","()","()","https://t.co/WQP7wyukm9","https://twitter.com/i/web/status/1112621960062590976","twitter.com/i/web/status/1…","117","en","recent","<a href=""https://twitter.com/seringbucin"" rel=""nofollow"">Auto Menfess Gavel</a>",NA,NA,NA,NA,NA,1553306040,"1553306040","Westhingy | Use /wst","westhingy2","","@westhingy got suspended. subbase: @educationfess @heroesfess",NA,"()",FALSE,4120,1021,53,"Fri Jun 28 15:16:13 +0000 2013",1,NA,NA,FALSE,FALSE,1982,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1108330037005082624/eYTOHSbR_normal.jpg","https://pbs.twimg.com/profile_images/1108330037005082624/eYTOHSbR_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,25,3,FALSE,FALSE,"en",FALSE,25,0,FALSE,FALSE,"en"
"Mon Apr 01 08:52:12 +0000 2019",1112638784917495809,"1112638784917495809","RT @westhingy2: 🌟rt/rep if u like🌟
clairo, girl in red, fazerdaze, conan gray, wallows, summersalt, frankie cosmos, the nbhd, stranger thin…",FALSE,"()","()","westhingy2","Westhingy | Use /wst",1553306040,"1553306040","3","()","en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,752511996881285120,"752511996881285120","M","ilauvyou_","Jakarta, Indonesia","🌷",NA,"()",FALSE,151,191,0,"Mon Jul 11 14:36:56 +0000 2016",412,NA,NA,FALSE,FALSE,734,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/1112280754002644992/HjKwuu6r_normal.jpg","https://pbs.twimg.com/profile_images/1112280754002644992/HjKwuu6r_normal.jpg","https://pbs.twimg.com/profile_banners/752511996881285120/1542090765","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,"Mon Apr 01 07:45:21 +0000 2019",1112621960062590976,"1112621960062590976","🌟rt/rep if u like🌟
clairo, girl in red, fazerdaze, conan gray, wallows, summersalt, frankie cosmos, the nbhd, stran… https://t.co/WQP7wyukm9",TRUE,"()","()","()","https://t.co/WQP7wyukm9","https://twitter.com/i/web/status/1112621960062590976","twitter.com/i/web/status/1…","117","en","recent","<a href=""https://twitter.com/seringbucin"" rel=""nofollow"">Auto Menfess Gavel</a>",NA,NA,NA,NA,NA,1553306040,"1553306040","Westhingy | Use /wst","westhingy2","","@westhingy got suspended. subbase: @educationfess @heroesfess",NA,"()",FALSE,4120,1021,53,"Fri Jun 28 15:16:13 +0000 2013",1,NA,NA,FALSE,FALSE,1982,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1108330037005082624/eYTOHSbR_normal.jpg","https://pbs.twimg.com/profile_images/1108330037005082624/eYTOHSbR_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,25,3,FALSE,FALSE,"en",FALSE,25,0,FALSE,FALSE,"en"
"Mon Apr 01 08:37:27 +0000 2019",1112635070441938944,"1112635070441938944","RT @westhingy2: 🌟rt/rep if u like🌟
clairo, girl in red, fazerdaze, conan gray, wallows, summersalt, frankie cosmos, the nbhd, stranger thin…",FALSE,"()","()","westhingy2","Westhingy | Use /wst",1553306040,"1553306040","3","()","en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,741687000156110849,"741687000156110849","mars","marsvelcaptain","","bodo amat person",NA,"()",FALSE,668,644,0,"Sat Jun 11 17:42:15 +0000 2016",4957,NA,NA,FALSE,FALSE,3033,"id",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/1112576436479524864/FDRQy2YH_normal.jpg","https://pbs.twimg.com/profile_images/1112576436479524864/FDRQy2YH_normal.jpg","https://pbs.twimg.com/profile_banners/741687000156110849/1554093867","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,"Mon Apr 01 07:45:21 +0000 2019",1112621960062590976,"1112621960062590976","🌟rt/rep if u like🌟
clairo, girl in red, fazerdaze, conan gray, wallows, summersalt, frankie cosmos, the nbhd, stran… https://t.co/WQP7wyukm9",TRUE,"()","()","()","https://t.co/WQP7wyukm9","https://twitter.com/i/web/status/1112621960062590976","twitter.com/i/web/status/1…","117","en","recent","<a href=""https://twitter.com/seringbucin"" rel=""nofollow"">Auto Menfess Gavel</a>",NA,NA,NA,NA,NA,1553306040,"1553306040","Westhingy | Use /wst","westhingy2","","@westhingy got suspended. subbase: @educationfess @heroesfess",NA,"()",FALSE,4120,1021,53,"Fri Jun 28 15:16:13 +0000 2013",1,NA,NA,FALSE,FALSE,1982,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1108330037005082624/eYTOHSbR_normal.jpg","https://pbs.twimg.com/profile_images/1108330037005082624/eYTOHSbR_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,25,3,FALSE,FALSE,"en",FALSE,25,0,FALSE,FALSE,"en"
"Mon Apr 01 08:37:06 +0000 2019",1112634984966184960,"1112634984966184960","RT @westhingy2: 🌟rt/rep if u like🌟
clairo, girl in red, fazerdaze, conan gray, wallows, summersalt, frankie cosmos, the nbhd, stranger thin…",FALSE,"()","()","westhingy2","Westhingy | Use /wst",1553306040,"1553306040","3","()","en","recent","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,1027396673046077442,"1027396673046077442","nan","httpthief","ca ","not gonna fuck u behind",NA,"()",FALSE,25,41,0,"Thu Aug 09 03:30:29 +0000 2018",33,NA,NA,FALSE,FALSE,201,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/1110480762933907457/DxsncTp9_normal.jpg","https://pbs.twimg.com/profile_images/1110480762933907457/DxsncTp9_normal.jpg","https://pbs.twimg.com/profile_banners/1027396673046077442/1553594220","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,"Mon Apr 01 07:45:21 +0000 2019",1112621960062590976,"1112621960062590976","🌟rt/rep if u like🌟
clairo, girl in red, fazerdaze, conan gray, wallows, summersalt, frankie cosmos, the nbhd, stran… https://t.co/WQP7wyukm9",TRUE,"()","()","()","https://t.co/WQP7wyukm9","https://twitter.com/i/web/status/1112621960062590976","twitter.com/i/web/status/1…","117","en","recent","<a href=""https://twitter.com/seringbucin"" rel=""nofollow"">Auto Menfess Gavel</a>",NA,NA,NA,NA,NA,1553306040,"1553306040","Westhingy | Use /wst","westhingy2","","@westhingy got suspended. subbase: @educationfess @heroesfess",NA,"()",FALSE,4120,1021,53,"Fri Jun 28 15:16:13 +0000 2013",1,NA,NA,FALSE,FALSE,1982,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1108330037005082624/eYTOHSbR_normal.jpg","https://pbs.twimg.com/profile_images/1108330037005082624/eYTOHSbR_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"none",NA,NA,NA,NA,FALSE,25,3,FALSE,FALSE,"en",FALSE,25,0,FALSE,FALSE,"en"
